"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1386","should remove product from cart","","2026-03-03","passed","2026-03-03","","Cart","",""
"","971","should add multiple products to cart","","2026-03-03","passed","2026-03-03","","Inventory","",""
"","954","should add product to cart","","2026-03-03","passed","2026-03-03","","Inventory","",""
"","1837","should display added products in cart","","2026-03-03","passed","2026-03-03","","Cart","",""
"","1188","should login successfully with valid credentials","","2026-03-03","passed","2026-03-03","","Login","",""
"","235","should have no accessibility violations on login page","","2026-03-03","failed","2026-03-03","","Login","",""
"","890","should open cart when clicking cart icon","","2026-03-03","passed","2026-03-03","","Inventory","",""
"","883","should have no accessibility violations on inventory page","","2026-03-03","failed","2026-03-03","","Inventory","",""
"","799","should show error with invalid credentials","","2026-03-03","passed","2026-03-03","","Login","",""
"","1169","should display product list","","2026-03-03","passed","2026-03-03","","Inventory","",""
"","874","should show error with locked out user","","2026-03-03","passed","2026-03-03","","Login","",""
"","1316","should have no accessibility violations on cart page","","2026-03-03","failed","2026-03-03","","Cart","",""
"","1164","should proceed to checkout","","2026-03-03","passed","2026-03-03","","Cart","",""
